"hour","temperature"
"2019-09-29 12:00:00.000","2568"
"2019-09-29 12:00:00.000","2587"
"2019-09-29 12:00:00.000","2925"
"2019-09-29 12:00:00.000","2900"
"2019-09-29 12:00:00.000","2881"
"2019-09-29 12:00:00.000","2862"
"2019-09-29 12:00:00.000","2737"
"2019-09-29 12:00:00.000","2743"
"2019-09-29 12:00:00.000","2750"
"2019-09-29 12:00:00.000","2756"
"2019-09-29 12:00:00.000","2768"
"2019-09-29 12:00:00.000","2781"
"2019-09-29 12:00:00.000","2787"
"2019-09-29 12:00:00.000","2843"
"2019-09-29 12:00:00.000","2875"
"2019-09-29 12:00:00.000","2918"
"2019-09-29 12:00:00.000","2712"
"2019-09-29 12:00:00.000","2706"
"2019-09-29 12:00:00.000","2643"
"2019-09-29 12:00:00.000","2637"
"2019-09-29 12:00:00.000","2606"
"2019-09-29 12:00:00.000","2593"
"2019-09-29 12:00:00.000","2562"
"2019-09-29 12:00:00.000","2550"
"2019-09-29 12:00:00.000","2543"
"2019-09-29 12:00:00.000","2531"
"2019-09-29 12:00:00.000","2525"
"2019-09-29 12:00:00.000","2518"
"2019-09-29 12:00:00.000","2481"
"2019-09-29 12:00:00.000","2437"
"2019-09-29 12:00:00.000","2400"
"2019-09-29 12:00:00.000","2368"
"2019-09-29 12:00:00.000","2681"
"2019-09-29 12:00:00.000","2662"
"2019-09-29 12:00:00.000","2618"
"2019-09-29 12:00:00.000","2581"
"2019-09-29 12:00:00.000","2575"
"2019-09-29 12:00:00.000","2443"
"2019-09-29 12:00:00.000","2393"
"2019-09-29 12:00:00.000","2381"
"2019-09-29 12:00:00.000","2362"
"2019-09-29 12:00:00.000","2387"
"2019-09-29 12:00:00.000","2406"
"2019-09-29 12:00:00.000","2412"
"2019-09-29 12:00:00.000","2418"
"2019-09-29 12:00:00.000","2425"
"2019-09-29 12:00:00.000","2456"
"2019-09-29 12:00:00.000","2500"
"2019-09-29 12:00:00.000","2506"
"2019-09-29 12:00:00.000","2512"
"2019-09-29 12:00:00.000","2537"
"2019-09-29 12:00:00.000","2556"
"2019-09-29 12:00:00.000","2600"
"2019-09-29 12:00:00.000","2631"
"2019-09-29 12:00:00.000","2650"
"2019-09-29 12:00:00.000","2668"
"2019-09-29 12:00:00.000","2675"
"2019-09-29 12:00:00.000","2687"
"2019-09-29 12:00:00.000","2700"
"2019-09-29 12:00:00.000","2718"
"2019-09-29 12:00:00.000","2725"
"2019-09-29 12:00:00.000","2937"
"2019-09-29 12:00:00.000","2931"
"2019-09-29 12:00:00.000","2912"
"2019-09-29 12:00:00.000","2906"
"2019-09-29 12:00:00.000","2887"
"2019-09-29 12:00:00.000","2856"
"2019-09-29 12:00:00.000","2831"
"2019-09-29 12:00:00.000","2825"
"2019-09-29 12:00:00.000","2806"
"2019-09-29 12:00:00.000","2775"
"2019-09-29 12:00:00.000","2762"
"2019-09-29 12:00:00.000","2943"
"2019-09-29 12:00:00.000","2893"
"2019-09-29 12:00:00.000","2868"
"2019-09-29 12:00:00.000","2850"
"2019-09-29 12:00:00.000","2837"
"2019-09-29 12:00:00.000","2818"
"2019-09-29 12:00:00.000","2812"
"2019-09-29 12:00:00.000","2800"
"2019-09-29 12:00:00.000","2793"
"2019-09-29 12:00:00.000","2731"
"2019-09-29 12:00:00.000","2693"
"2019-09-29 12:00:00.000","2656"
"2019-09-29 12:00:00.000","2625"
"2019-09-29 12:00:00.000","2612"
"2019-09-29 11:00:00.000","2743"
"2019-09-29 11:00:00.000","2756"
"2019-09-29 11:00:00.000","2762"
"2019-09-29 11:00:00.000","2768"
"2019-09-29 11:00:00.000","2793"
"2019-09-29 11:00:00.000","2387"
"2019-09-29 11:00:00.000","2306"
"2019-09-29 11:00:00.000","2312"
"2019-09-29 11:00:00.000","2318"
"2019-09-29 11:00:00.000","2325"
"2019-09-29 11:00:00.000","2337"
"2019-09-29 11:00:00.000","2787"
"2019-09-29 11:00:00.000","2737"
"2019-09-29 11:00:00.000","2731"
"2019-09-29 11:00:00.000","2693"
"2019-09-29 11:00:00.000","2681"
"2019-09-29 11:00:00.000","2668"
"2019-09-29 11:00:00.000","2662"
"2019-09-29 11:00:00.000","2656"
"2019-09-29 11:00:00.000","2643"
"2019-09-29 11:00:00.000","2462"
"2019-09-29 11:00:00.000","2343"
"2019-09-29 11:00:00.000","2368"
"2019-09-29 11:00:00.000","2375"
"2019-09-29 11:00:00.000","2393"
"2019-09-29 11:00:00.000","2406"
"2019-09-29 11:00:00.000","2806"
"2019-09-29 11:00:00.000","2800"
"2019-09-29 11:00:00.000","2781"
"2019-09-29 11:00:00.000","2775"
"2019-09-29 11:00:00.000","2300"
"2019-09-29 11:00:00.000","2331"
"2019-09-29 11:00:00.000","2362"
"2019-09-29 11:00:00.000","2443"
"2019-09-29 11:00:00.000","2437"
"2019-09-29 11:00:00.000","2412"
"2019-09-29 11:00:00.000","2525"
"2019-09-29 11:00:00.000","2606"
"2019-09-29 11:00:00.000","2575"
"2019-09-29 11:00:00.000","2562"
"2019-09-29 11:00:00.000","2550"
"2019-09-29 11:00:00.000","2537"
"2019-09-29 11:00:00.000","2687"
"2019-09-29 11:00:00.000","2625"
"2019-09-29 11:00:00.000","2618"
"2019-09-29 11:00:00.000","2593"
"2019-09-29 11:00:00.000","2568"
"2019-09-29 11:00:00.000","2543"
"2019-09-29 11:00:00.000","2518"
"2019-09-29 11:00:00.000","2512"
"2019-09-29 11:00:00.000","2500"
"2019-09-29 11:00:00.000","2487"
"2019-09-29 11:00:00.000","2481"
"2019-09-29 11:00:00.000","2431"
"2019-09-29 11:00:00.000","2456"
"2019-09-29 11:00:00.000","2700"
"2019-09-29 11:00:00.000","2450"
"2019-09-29 11:00:00.000","2493"
"2019-09-29 11:00:00.000","2531"
"2019-09-29 11:00:00.000","2612"
"2019-09-29 11:00:00.000","2650"
"2019-09-29 11:00:00.000","2725"
"2019-09-29 11:00:00.000","2750"
"2019-09-29 11:00:00.000","2400"
"2019-09-29 11:00:00.000","2381"
"2019-09-29 11:00:00.000","2356"
"2019-09-29 11:00:00.000","2350"
"2019-09-29 11:00:00.000","2468"
"2019-09-29 11:00:00.000","2425"
"2019-09-29 11:00:00.000","2418"
"2019-09-29 11:00:00.000","2475"
"2019-09-29 11:00:00.000","2506"
"2019-09-29 11:00:00.000","2556"
"2019-09-29 11:00:00.000","2581"
"2019-09-29 11:00:00.000","2587"
"2019-09-29 11:00:00.000","2600"
"2019-09-29 11:00:00.000","2631"
"2019-09-29 11:00:00.000","2637"
"2019-09-29 11:00:00.000","2675"
"2019-09-29 11:00:00.000","2706"
"2019-09-29 11:00:00.000","2712"
"2019-09-29 11:00:00.000","2718"
"2019-09-29 10:00:00.000","2393"
"2019-09-29 10:00:00.000","2387"
"2019-09-29 10:00:00.000","2381"
"2019-09-29 10:00:00.000","2362"
"2019-09-29 10:00:00.000","2368"
"2019-09-29 10:00:00.000","2293"
"2019-09-29 10:00:00.000","2306"
"2019-09-29 10:00:00.000","2312"
"2019-09-29 10:00:00.000","2400"
"2019-09-29 10:00:00.000","2318"
"2019-09-29 10:00:00.000","2406"
"2019-09-29 10:00:00.000","2287"
"2019-09-29 10:00:00.000","2300"
"2019-09-29 10:00:00.000","2343"
"2019-09-29 10:00:00.000","2331"
"2019-09-29 10:00:00.000","2337"
"2019-09-29 10:00:00.000","2356"
"2019-09-29 10:00:00.000","2375"
"2019-09-29 10:00:00.000","2325"
"2019-09-29 10:00:00.000","2350"
"2019-09-29 09:00:00.000","2062"
"2019-09-29 09:00:00.000","2225"
"2019-09-29 09:00:00.000","2193"
"2019-09-29 09:00:00.000","2187"
"2019-09-29 09:00:00.000","2175"
"2019-09-29 09:00:00.000","2168"
"2019-09-29 09:00:00.000","2156"
"2019-09-29 09:00:00.000","2150"
"2019-09-29 09:00:00.000","2143"
"2019-09-29 09:00:00.000","2087"
"2019-09-29 09:00:00.000","2075"
"2019-09-29 09:00:00.000","2043"
"2019-09-29 09:00:00.000","2006"
"2019-09-29 09:00:00.000","1987"
"2019-09-29 09:00:00.000","1981"
"2019-09-29 09:00:00.000","1962"
"2019-09-29 09:00:00.000","1950"
"2019-09-29 09:00:00.000","2093"
"2019-09-29 09:00:00.000","2100"
"2019-09-29 09:00:00.000","2181"
"2019-09-29 09:00:00.000","2212"
"2019-09-29 09:00:00.000","2218"
"2019-09-29 09:00:00.000","2231"
"2019-09-29 09:00:00.000","2243"
"2019-09-29 09:00:00.000","2250"
"2019-09-29 09:00:00.000","1937"
"2019-09-29 09:00:00.000","1968"
"2019-09-29 09:00:00.000","1993"
"2019-09-29 09:00:00.000","2025"
"2019-09-29 09:00:00.000","2031"
"2019-09-29 09:00:00.000","2050"
"2019-09-29 09:00:00.000","2056"
"2019-09-29 09:00:00.000","2068"
"2019-09-29 09:00:00.000","2106"
"2019-09-29 09:00:00.000","2118"
"2019-09-29 09:00:00.000","2287"
"2019-09-29 09:00:00.000","2281"
"2019-09-29 09:00:00.000","2262"
"2019-09-29 09:00:00.000","2206"
"2019-09-29 09:00:00.000","2131"
"2019-09-29 09:00:00.000","2125"
"2019-09-29 09:00:00.000","2112"
"2019-09-29 09:00:00.000","2081"
"2019-09-29 09:00:00.000","2037"
"2019-09-29 09:00:00.000","2018"
"2019-09-29 09:00:00.000","2012"
"2019-09-29 09:00:00.000","2000"
"2019-09-29 09:00:00.000","1975"
"2019-09-29 09:00:00.000","1943"
"2019-09-29 09:00:00.000","2137"
"2019-09-29 09:00:00.000","2162"
"2019-09-29 09:00:00.000","2200"
"2019-09-29 09:00:00.000","2237"
"2019-09-29 09:00:00.000","2256"
"2019-09-29 09:00:00.000","2268"
"2019-09-29 09:00:00.000","2275"
"2019-09-29 09:00:00.000","1931"
"2019-09-29 09:00:00.000","1956"
"2019-09-29 08:00:00.000","1800"
"2019-09-29 08:00:00.000","1925"
"2019-09-29 08:00:00.000","1887"
"2019-09-29 08:00:00.000","1918"
"2019-09-29 08:00:00.000","1775"
"2019-09-29 08:00:00.000","1662"
"2019-09-29 08:00:00.000","1650"
"2019-09-29 08:00:00.000","1631"
"2019-09-29 08:00:00.000","1625"
"2019-09-29 08:00:00.000","1837"
"2019-09-29 08:00:00.000","1825"
"2019-09-29 08:00:00.000","1818"
"2019-09-29 08:00:00.000","1812"
"2019-09-29 08:00:00.000","1793"
"2019-09-29 08:00:00.000","1806"
"2019-09-29 08:00:00.000","1912"
"2019-09-29 08:00:00.000","1900"
"2019-09-29 08:00:00.000","1850"
"2019-09-29 08:00:00.000","1618"
